Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Donny van de Beek,nl NED,DF,26,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,0,1,0.00,0.00,0.00,0.00,0.00,1.09,4.44,5.54,1.09,5.54,Matches,Manchester United
Daniel Gore,eng ENG,MF,18,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Manchester United
Harry Amass,eng ENG,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Altay Bayındır,tr TUR,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Rhys Bennett,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Álvaro Carreras,es ESP,"DF,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Toby Collyer,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Tom Heaton,eng ENG,GK,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Dean Henderson,eng ENG,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Joe Hugill,eng ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Louis Jackson,sct SCO,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Dermot Mee,nir NIR,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Habeeb Ogunneye,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Radek Vítek,,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester United
Squad Total,,,26.1,38,418,3420,38.0,57,36,93,51,6,7,83,1,56.5,51.0,40.1,91.0,758,1479,1468,1.50,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.40,,Manchester United
Opponent Total,,,26.2,38,418,3420,38.0,57,39,96,50,7,7,85,1,68.9,63.4,51.1,114.5,862,1578,1556,1.50,1.03,2.53,1.32,2.34,1.81,1.34,3.16,1.67,3.01,,Manchester United
Vladimír Coufal,cz CZE,DF,30,36,36,3132,34.8,0,7,7,0,0,0,7,1,0.3,0.3,4.0,4.3,68,119,126,0.00,0.20,0.20,0.00,0.20,0.01,0.11,0.12,0.01,0.12,Matches,West Ham United
Emerson Palmieri,it ITA,DF,28,36,35,3137,34.9,1,2,3,1,0,0,10,0,1.5,1.5,2.4,3.9,59,125,124,0.03,0.06,0.09,0.03,0.09,0.04,0.07,0.11,0.04,0.11,Matches,West Ham United
Jarrod Bowen,eng ENG,FW,26,34,34,3019,33.5,16,6,22,16,0,0,2,0,11.6,11.6,5.5,17.2,90,52,186,0.48,0.18,0.66,0.48,0.66,0.35,0.16,0.51,0.35,0.51,Matches,West Ham United
James Ward-Prowse,eng ENG,MF,28,37,34,3001,33.3,7,7,14,5,2,2,4,0,6.0,4.4,7.8,12.3,18,144,63,0.21,0.21,0.42,0.15,0.36,0.18,0.23,0.41,0.13,0.37,Matches,West Ham United
Tomáš Souček,cz CZE,MF,28,37,34,2870,31.9,7,2,9,7,0,0,7,0,6.7,6.7,1.7,8.4,7,86,39,0.22,0.06,0.28,0.22,0.28,0.21,0.05,0.26,0.21,0.26,Matches,West Ham United
Kurt Zouma,fr FRA,DF,28,33,32,2838,31.5,3,0,3,3,0,0,3,0,1.8,1.8,0.2,2.0,7,53,1,0.10,0.00,0.10,0.10,0.10,0.06,0.01,0.06,0.06,0.06,Matches,West Ham United
Alphonse Areola,fr FRA,GK,30,31,31,2699,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,West Ham United
Lucas Paquetá,br BRA,"FW,MF",25,31,31,2622,29.1,4,6,10,2,2,2,10,0,5.4,3.8,5.4,9.2,34,187,116,0.14,0.21,0.34,0.07,0.27,0.18,0.18,0.37,0.13,0.32,Matches,West Ham United
